district_number,district_name,school_number,school_name,year,subgroup,denominator,percent_ca,percent_ca_previous,baseline_year
10,Anderson County Schools,40,Fairview Elementary,2018,English Learners,0,*,*,
10,Anderson County Schools,40,Fairview Elementary,2018,Students with Disabilities,72,11.1,4.3,2017
10,Anderson County Schools,46,Grand Oaks Elementary,2018,All Students,270,14.1,9.7,2017
10,Anderson County Schools,46,Grand Oaks Elementary,2018,Black/Hispanic/Native,0,*,*,
10,Anderson County Schools,46,Grand Oaks Elementary,2018,Economically Disadvantaged,116,27.6,18.8,2017
10,Anderson County Schools,46,Grand Oaks Elementary,2018,English Learners,,*,*,
10,Anderson County Schools,46,Grand Oaks Elementary,2018,Students with Disabilities,43,23.3,8.9,2017
10,Anderson County Schools,50,Lake City Elementary,2018,All Students,416,16.8,8.1,2017
10,Anderson County Schools,50,Lake City Elementary,2018,Black/Hispanic/Native,0,*,*,
10,Anderson County Schools,50,Lake City Elementary,2018,Economically Disadvantaged,196,28.1,14.5,2017
10,Anderson County Schools,50,Lake City Elementary,2018,English Learners,,*,*,
10,Anderson County Schools,50,Lake City Elementary,2018,Students with Disabilities,96,11.5,9.5,2017
10,Anderson County Schools,55,Lake City Middle School,2018,All Students,295,20.7,16.7,2017
10,Anderson County Schools,55,Lake City Middle School,2018,Black/Hispanic/Native,0,*,*,
10,Anderson County Schools,55,Lake City Middle School,2018,Economically Disadvantaged,151,28.5,22.4,2017
10,Anderson County Schools,55,Lake City Middle School,2018,English Learners,,*,*,
10,Anderson County Schools,55,Lake City Middle School,2018,Students with Disabilities,60,30.0,18.8,2017
10,Anderson County Schools,70,Norris Elementary,2018,All Students,220,6.8,5.8,2017
10,Anderson County Schools,70,Norris Elementary,2018,Black/Hispanic/Native,0,*,*,
10,Anderson County Schools,70,Norris Elementary,2018,Economically Disadvantaged,37,13.5,9.1,2017
10,Anderson County Schools,70,Norris Elementary,2018,English Learners,,*,*,
10,Anderson County Schools,70,Norris Elementary,2018,Students with Disabilities,32,9.4,6.3,2017
10,Anderson County Schools,75,Norris Middle School,2018,All Students,486,11.5,6.3,2017
10,Anderson County Schools,75,Norris Middle School,2018,Black/Hispanic/Native,0,*,*,
10,Anderson County Schools,75,Norris Middle School,2018,Economically Disadvantaged,119,28.6,12,2017
10,Anderson County Schools,75,Norris Middle School,2018,English Learners,,*,*,
10,Anderson County Schools,75,Norris Middle School,2018,Students with Disabilities,66,15.2,9.7,2017
10,Anderson County Schools,80,Norwood Elementary,2018,All Students,233,13.3,8.9,2017
10,Anderson County Schools,80,Norwood Elementary,2018,Black/Hispanic/Native,0,*,*,
10,Anderson County Schools,80,Norwood Elementary,2018,Economically Disadvantaged,127,18.9,12.7,2017
10,Anderson County Schools,80,Norwood Elementary,2018,English Learners,,*,*,
10,Anderson County Schools,80,Norwood Elementary,2018,Students with Disabilities,65,16.9,15.3,2017
10,Anderson County Schools,85,Norwood Middle School,2018,All Students,205,16.6,16.3,2017
10,Anderson County Schools,85,Norwood Middle School,2018,Black/Hispanic/Native,0,*,*,
10,Anderson County Schools,85,Norwood Middle School,2018,Economically Disadvantaged,93,21.5,22.4,2017
10,Anderson County Schools,85,Norwood Middle School,2018,English Learners,0,*,*,
10,Anderson County Schools,85,Norwood Middle School,2018,Students with Disabilities,43,16.3,*,
10,Anderson County Schools,105,Clinch River Community School,2018,All Students,,*,*,
10,Anderson County Schools,105,Clinch River Community School,2018,Black/Hispanic/Native,,*,*,
10,Anderson County Schools,105,Clinch River Community School,2018,Economically Disadvantaged,,*,*,
10,Anderson County Schools,105,Clinch River Community School,2018,English Learners,,*,*,
10,Anderson County Schools,105,Clinch River Community School,2018,Students with Disabilities,,*,*,
11,Clinton City School District,0,,2018,All Students,944,9.3,7.4,2017
11,Clinton City School District,0,,2018,Black/Hispanic/Native,100,7.0,5.7,2017
11,Clinton City School District,0,,2018,Economically Disadvantaged,303,16.8,15.2,2017
11,Clinton City School District,0,,2018,English Learners,9,*,0,
11,Clinton City School District,0,,2018,Students with Disabilities,166,10.8,14.8,2017
11,Clinton City School District,5,Clinton Elementary,2018,All Students,546,6.6,6.1,2017
11,Clinton City School District,5,Clinton Elementary,2018,Black/Hispanic/Native,57,5.3,4,2017
11,Clinton City School District,5,Clinton Elementary,2018,Economically Disadvantaged,131,17.6,12.9,2017
11,Clinton City School District,5,Clinton Elementary,2018,English Learners,0,*,*,
11,Clinton City School District,5,Clinton Elementary,2018,Students with Disabilities,68,7.4,17.3,2017
11,Clinton City School District,10,North Clinton Elementary,2018,All Students,132,14.4,11.2,2017
11,Clinton City School District,10,North Clinton Elementary,2018,Black/Hispanic/Native,0,*,*,
11,Clinton City School District,10,North Clinton Elementary,2018,Economically Disadvantaged,99,16.2,16.9,2017
11,Clinton City School District,10,North Clinton Elementary,2018,English Learners,0,*,*,
11,Clinton City School District,10,North Clinton Elementary,2018,Students with Disabilities,41,17.1,12.9,2017
11,Clinton City School District,15,South Clinton Elementary,2018,All Students,266,12.4,8.1,2017
11,Clinton City School District,15,South Clinton Elementary,2018,Black/Hispanic/Native,0,*,*,
11,Clinton City School District,15,South Clinton Elementary,2018,Economically Disadvantaged,73,16.4,17.1,2017
11,Clinton City School District,15,South Clinton Elementary,2018,English Learners,0,*,*,
11,Clinton City School District,15,South Clinton Elementary,2018,Students with Disabilities,57,10.5,13.5,2017
12,Oak Ridge City Schools,0,,2018,All Students,4413,14.7,13.8,2017
12,Oak Ridge City Schools,0,,2018,Black/Hispanic/Native,1166,14.4,15.2,2017
12,Oak Ridge City Schools,0,,2018,Economically Disadvantaged,1447,24.5,23.1,2017
12,Oak Ridge City Schools,0,,2018,English Learners,127,7.9,7.1,2017
12,Oak Ridge City Schools,0,,2018,Students with Disabilities,653,20.4,16.8,2017
12,Oak Ridge City Schools,15,Glenwood Elementary,2018,All Students,407,15.2,14.4,2017
12,Oak Ridge City Schools,15,Glenwood Elementary,2018,Black/Hispanic/Native,110,17.3,23.3,2017
12,Oak Ridge City Schools,15,Glenwood Elementary,2018,Economically Disadvantaged,154,22.1,21.6,2017
12,Oak Ridge City Schools,15,Glenwood Elementary,2018,English Learners,0,*,*,
12,Oak Ridge City Schools,15,Glenwood Elementary,2018,Students with Disabilities,59,27.1,14.5,2017
12,Oak Ridge City Schools,25,Jefferson Middle School,2018,All Students,683,10.1,7.9,2017
12,Oak Ridge City Schools,25,Jefferson Middle School,2018,Black/Hispanic/Native,148,11.5,7.7,2017
12,Oak Ridge City Schools,25,Jefferson Middle School,2018,Economically Disadvantaged,172,18.6,15.1,2017
12,Oak Ridge City Schools,25,Jefferson Middle School,2018,English Learners,0,*,*,
12,Oak Ridge City Schools,25,Jefferson Middle School,2018,Students with Disabilities,73,20.5,11.1,2017
12,Oak Ridge City Schools,30,Linden Elementary,2018,All Students,424,8.7,12.3,2017
12,Oak Ridge City Schools,30,Linden Elementary,2018,Black/Hispanic/Native,95,7.4,20.6,2017
12,Oak Ridge City Schools,30,Linden Elementary,2018,Economically Disadvantaged,133,20.3,23.4,2017
12,Oak Ridge City Schools,30,Linden Elementary,2018,English Learners,0,*,*,
12,Oak Ridge City Schools,30,Linden Elementary,2018,Students with Disabilities,79,15.2,15.9,2017
12,Oak Ridge City Schools,35,Oak Ridge High School,2018,All Students,1393,21.8,17.7,2017
12,Oak Ridge City Schools,35,Oak Ridge High School,2018,Black/Hispanic/Native,334,22.2,17.4,2017
12,Oak Ridge City Schools,35,Oak Ridge High School,2018,Economically Disadvantaged,337,36.5,30.3,2017
12,Oak Ridge City Schools,35,Oak Ridge High School,2018,English Learners,0,*,*,
12,Oak Ridge City Schools,35,Oak Ridge High School,2018,Students with Disabilities,152,30.9,21.2,2017
12,Oak Ridge City Schools,40,Robertsville Middle School,2018,All Students,710,14.8,11.7,2017
12,Oak Ridge City Schools,40,Robertsville Middle School,2018,Black/Hispanic/Native,229,13.1,11.2,2017
12,Oak Ridge City Schools,40,Robertsville Middle School,2018,Economically Disadvantaged,301,26.9,20.9,2017
12,Oak Ridge City Schools,40,Robertsville Middle School,2018,English Learners,0,*,*,
12,Oak Ridge City Schools,40,Robertsville Middle School,2018,Students with Disabilities,125,16.8,17.9,2017
12,Oak Ridge City Schools,45,Willow Brook Elementary,2018,All Students,380,12.1,19.6,2017
12,Oak Ridge City Schools,45,Willow Brook Elementary,2018,Black/Hispanic/Native,145,9.7,19.5,2017
12,Oak Ridge City Schools,45,Willow Brook Elementary,2018,Economically Disadvantaged,229,16.6,24.5,2017
12,Oak Ridge City Schools,45,Willow Brook Elementary,2018,English Learners,0,*,*,
12,Oak Ridge City Schools,45,Willow Brook Elementary,2018,Students with Disabilities,102,13.7,19,2017
12,Oak Ridge City Schools,50,Woodland Elementary,2018,All Students,419,6.7,9.9,2017
12,Oak Ridge City Schools,50,Woodland Elementary,2018,Black/Hispanic/Native,106,9.4,8.8,2017
12,Oak Ridge City Schools,50,Woodland Elementary,2018,Economically Disadvantaged,121,14.9,20.7,2017
12,Oak Ridge City Schools,50,Woodland Elementary,2018,English Learners,31,0,5.7,2017
12,Oak Ridge City Schools,50,Woodland Elementary,2018,Students with Disabilities,63,11.1,13.3,2017
20,Bedford County Schools,0,,2018,All Students,8572,14.3,12.8,2017
20,Bedford County Schools,0,,2018,Black/Hispanic/Native,3105,12.5,9.8,2017
20,Bedford County Schools,0,,2018,Economically Disadvantaged,3641,21.1,20.4,2017
20,Bedford County Schools,0,,2018,English Learners,822,7.9,6.5,2017
20,Bedford County Schools,0,,2018,Students with Disabilities,897,20.5,19.6,2017
20,Bedford County Schools,12,Cascade Elementary,2018,All Students,563,4.4,5.6,2017
20,Bedford County Schools,12,Cascade Elementary,2018,Black/Hispanic/Native,69,4.3,4.8,2017
20,Bedford County Schools,12,Cascade Elementary,2018,Economically Disadvantaged,153,9.2,11.6,2017
20,Bedford County Schools,12,Cascade Elementary,2018,English Learners,0,*,*,
20,Bedford County Schools,12,Cascade Elementary,2018,Students with Disabilities,60,10.0,9.4,2017
20,Bedford County Schools,13,Cascade High School,2018,All Students,466,14.8,18.2,2017
20,Bedford County Schools,13,Cascade High School,2018,Black/Hispanic/Native,67,19.4,26.5,2017
20,Bedford County Schools,13,Cascade High School,2018,Economically Disadvantaged,103,21.4,35.4,2017
20,Bedford County Schools,13,Cascade High School,2018,English Learners,0,*,*,
20,Bedford County Schools,13,Cascade High School,2018,Students with Disabilities,49,14.3,*,
20,Bedford County Schools,15,Eakin Elementary,2018,All Students,608,11.5,9.2,2017
20,Bedford County Schools,15,Eakin Elementary,2018,Black/Hispanic/Native,367,8.2,5.9,2017
20,Bedford County Schools,15,Eakin Elementary,2018,Economically Disadvantaged,395,13.7,11.8,2017
20,Bedford County Schools,15,Eakin Elementary,2018,English Learners,167,6.6,4.4,2017
20,Bedford County Schools,15,Eakin Elementary,2018,Students with Disabilities,47,17.0,7.3,2017
20,Bedford County Schools,17,Cascade Middle School,2018,All Students,343,9.3,11.6,2017
20,Bedford County Schools,17,Cascade Middle School,2018,Black/Hispanic/Native,41,14.6,7.7,2017
20,Bedford County Schools,17,Cascade Middle School,2018,Economically Disadvantaged,75,22.7,24.7,2017
20,Bedford County Schools,17,Cascade Middle School,2018,English Learners,0,*,*,
20,Bedford County Schools,17,Cascade Middle School,2018,Students with Disabilities,0,*,*,
20,Bedford County Schools,20,Shelbyville Central High School,2018,All Students,1477,19.9,17.5,2017
20,Bedford County Schools,20,Shelbyville Central High School,2018,Black/Hispanic/Native,699,19.9,15.6,2017
20,Bedford County Schools,20,Shelbyville Central High School,2018,Economically Disadvantaged,596,28.0,29.3,2017
20,Bedford County Schools,20,Shelbyville Central High School,2018,English Learners,115,18.3,16.8,2017
20,Bedford County Schools,20,Shelbyville Central High School,2018,Students with Disabilities,173,28.9,22,2017
20,Bedford County Schools,25,Harris Middle School,2018,All Students,1036,15.9,15.4,2017
20,Bedford County Schools,25,Harris Middle School,2018,Black/Hispanic/Native,602,11.6,10.8,2017
20,Bedford County Schools,25,Harris Middle School,2018,Economically Disadvantaged,576,20.5,23,2017
20,Bedford County Schools,25,Harris Middle School,2018,English Learners,100,7.0,10.9,2017
20,Bedford County Schools,25,Harris Middle School,2018,Students with Disabilities,99,18.2,30.1,2017
20,Bedford County Schools,33,Community Elementary School,2018,All Students,680,15.4,13.8,2017
20,Bedford County Schools,33,Community Elementary School,2018,Black/Hispanic/Native,112,17.9,12,2017
20,Bedford County Schools,33,Community Elementary School,2018,Economically Disadvantaged,245,27.3,22.8,2017
20,Bedford County Schools,33,Community Elementary School,2018,English Learners,0,*,*,
20,Bedford County Schools,33,Community Elementary School,2018,Students with Disabilities,81,16.0,27.3,2017
20,Bedford County Schools,35,Community High School,2018,All Students,512,19.9,18.3,2017
20,Bedford County Schools,35,Community High School,2018,Black/Hispanic/Native,74,12.2,6.3,2017
20,Bedford County Schools,35,Community High School,2018,Economically Disadvantaged,133,31.6,31.9,2017
20,Bedford County Schools,35,Community High School,2018,English Learners,0,*,*,
20,Bedford County Schools,35,Community High School,2018,Students with Disabilities,49,20.4,10.4,2017
20,Bedford County Schools,37,Community Middle School,2018,All Students,396,11.1,9.5,2017
20,Bedford County Schools,37,Community Middle School,2018,Black/Hispanic/Native,74,5.4,3.1,2017
20,Bedford County Schools,37,Community Middle School,2018,Economically Disadvantaged,127,20.5,17.5,2017
20,Bedford County Schools,37,Community Middle School,2018,English Learners,0,*,*,
20,Bedford County Schools,37,Community Middle School,2018,Students with Disabilities,43,25.6,21.6,2017
20,Bedford County Schools,39,Learning Way Elementary,2018,All Students,554,13.5,10,2017
20,Bedford County Schools,39,Learning Way Elementary,2018,Black/Hispanic/Native,328,10.7,6.4,2017
20,Bedford County Schools,39,Learning Way Elementary,2018,Economically Disadvantaged,336,17.9,12.4,2017
20,Bedford County Schools,39,Learning Way Elementary,2018,English Learners,147,10.9,5.5,2017
20,Bedford County Schools,39,Learning Way Elementary,2018,Students with Disabilities,58,19.0,23.8,2017
20,Bedford County Schools,40,East Side Elementary,2018,All Students,448,17.6,9.9,2017
20,Bedford County Schools,40,East Side Elementary,2018,Black/Hispanic/Native,272,8.5,4.3,2017
20,Bedford County Schools,40,East Side Elementary,2018,Economically Disadvantaged,318,20.4,13.4,2017
20,Bedford County Schools,40,East Side Elementary,2018,English Learners,113,1.8,.8,2017
20,Bedford County Schools,40,East Side Elementary,2018,Students with Disabilities,66,28.8,15.9,2017
20,Bedford County Schools,53,Liberty Elementary,2018,All Students,737,12.9,9.6,2017
20,Bedford County Schools,53,Liberty Elementary,2018,Black/Hispanic/Native,93,11.8,7.7,2017
20,Bedford County Schools,53,Liberty Elementary,2018,Economically Disadvantaged,293,20.1,18.2,2017
20,Bedford County Schools,53,Liberty Elementary,2018,English Learners,0,*,*,
20,Bedford County Schools,53,Liberty Elementary,2018,Students with Disabilities,76,19.7,14,2017
20,Bedford County Schools,75,South Side Elementary,2018,All Students,377,12.5,9.8,2017
20,Bedford County Schools,75,South Side Elementary,2018,Black/Hispanic/Native,197,10.7,6.9,2017
20,Bedford County Schools,75,South Side Elementary,2018,Economically Disadvantaged,194,18.6,16.6,2017
20,Bedford County Schools,75,South Side Elementary,2018,English Learners,80,2.5,5,2017
20,Bedford County Schools,75,South Side Elementary,2018,Students with Disabilities,46,17.4,10.3,2017
20,Bedford County Schools,78,Thomas Magnet,2018,All Students,350,3.7,2.6,2017
20,Bedford County Schools,78,Thomas Magnet,2018,Black/Hispanic/Native,101,5.0,4.4,2017
20,Bedford County Schools,78,Thomas Magnet,2018,Economically Disadvantaged,76,11.8,7.3,2017
20,Bedford County Schools,78,Thomas Magnet,2018,English Learners,0,*,*,
20,Bedford County Schools,78,Thomas Magnet,2018,Students with Disabilities,0,*,*,
30,Benton School System,0,,2018,All Students,2137,7.8,9,2017
30,Benton School System,0,,2018,Black/Hispanic/Native,166,9.0,6.5,2017
30,Benton School System,0,,2018,Economically Disadvantaged,868,11.4,13.9,2017
30,Benton School System,0,,2018,English Learners,6,*,0,
30,Benton School System,0,,2018,Students with Disabilities,418,11.5,13.5,2017
30,Benton School System,10,Big Sandy School,2018,All Students,275,14.9,14.4,2017
30,Benton School System,10,Big Sandy School,2018,Black/Hispanic/Native,0,*,*,
30,Benton School System,10,Big Sandy School,2018,Economically Disadvantaged,120,20.0,19.4,2017
30,Benton School System,10,Big Sandy School,2018,English Learners,0,*,*,
30,Benton School System,10,Big Sandy School,2018,Students with Disabilities,47,21.3,24.4,2017
30,Benton School System,15,Briarwood School,2018,All Students,400,5.3,6.1,2017
30,Benton School System,15,Briarwood School,2018,Black/Hispanic/Native,34,0,*,
30,Benton School System,15,Briarwood School,2018,Economically Disadvantaged,161,6.8,8,2017
30,Benton School System,15,Briarwood School,2018,English Learners,0,*,*,
30,Benton School System,15,Briarwood School,2018,Students with Disabilities,66,10.6,7.5,2017
30,Benton School System,20,Camden Elementary,2018,All Students,,*,*,
30,Benton School System,20,Camden Elementary,2018,Black/Hispanic/Native,,*,*,
30,Benton School System,20,Camden Elementary,2018,Economically Disadvantaged,,*,*,
30,Benton School System,20,Camden Elementary,2018,English Learners,,*,*,
30,Benton School System,20,Camden Elementary,2018,Students with Disabilities,,*,*,
30,Benton School System,25,Camden Central High School,2018,All Students,653,11.0,17.7,2017
30,Benton School System,25,Camden Central High School,2018,Black/Hispanic/Native,47,25.5,28.2,2017
30,Benton School System,25,Camden Central High School,2018,Economically Disadvantaged,220,15.9,28.7,2017
30,Benton School System,25,Camden Central High School,2018,English Learners,0,*,*,
30,Benton School System,25,Camden Central High School,2018,Students with Disabilities,113,14.2,15.8,2017
30,Benton School System,27,Camden Jr High School,2018,All Students,360,13.9,8.8,2017
30,Benton School System,27,Camden Jr High School,2018,Black/Hispanic/Native,36,13.9,6.7,2017
30,Benton School System,27,Camden Jr High School,2018,Economically Disadvantaged,153,19.6,12.8,2017
30,Benton School System,27,Camden Jr High School,2018,English Learners,0,*,*,
30,Benton School System,27,Camden Jr High School,2018,Students with Disabilities,70,17.1,14.3,2017
30,Benton School System,30,Holladay Elementary,2018,All Students,128,10.2,22.6,2017
30,Benton School System,30,Holladay Elementary,2018,Black/Hispanic/Native,0,*,*,
30,Benton School System,30,Holladay Elementary,2018,Economically Disadvantaged,67,13.4,31.1,2017
30,Benton School System,30,Holladay Elementary,2018,English Learners,,*,*,
30,Benton School System,30,Holladay Elementary,2018,Students with Disabilities,36,8.3,*,
40,Bledsoe County Schools,0,,2018,All Students,1635,13.6,16.6,2017
40,Bledsoe County Schools,0,,2018,Black/Hispanic/Native,106,5.7,10.2,2017
40,Bledsoe County Schools,0,,2018,Economically Disadvantaged,734,20.3,22.8,2017
40,Bledsoe County Schools,0,,2018,English Learners,16,6.3,0,2017
40,Bledsoe County Schools,0,,2018,Students with Disabilities,371,19.9,22.3,2017
40,Bledsoe County Schools,5,Bledsoe County High School,2018,All Students,533,21.2,22.7,2017
40,Bledsoe County Schools,5,Bledsoe County High School,2018,Black/Hispanic/Native,0,*,*,
40,Bledsoe County Schools,5,Bledsoe County High School,2018,Economically Disadvantaged,221,36.2,32.2,2017
40,Bledsoe County Schools,5,Bledsoe County High School,2018,English Learners,0,*,*,
40,Bledsoe County Schools,5,Bledsoe County High School,2018,Students with Disabilities,107,34.6,27.7,2017
40,Bledsoe County Schools,6,Bledsoe County Middle School,2018,All Students,378,9.0,13.8,2017
40,Bledsoe County Schools,6,Bledsoe County Middle School,2018,Black/Hispanic/Native,0,*,*,
40,Bledsoe County Schools,6,Bledsoe County Middle School,2018,Economically Disadvantaged,161,13.0,18.3,2017
40,Bledsoe County Schools,6,Bledsoe County Middle School,2018,English Learners,0,*,*,
40,Bledsoe County Schools,6,Bledsoe County Middle School,2018,Students with Disabilities,81,14.8,25.5,2017
40,Bledsoe County Schools,10,Cecil B Rigsby Elementary,2018,All Students,149,10.1,13,2017
40,Bledsoe County Schools,10,Cecil B Rigsby Elementary,2018,Black/Hispanic/Native,0,*,*,
40,Bledsoe County Schools,10,Cecil B Rigsby Elementary,2018,Economically Disadvantaged,72,8.3,15.7,2017
40,Bledsoe County Schools,10,Cecil B Rigsby Elementary,2018,English Learners,0,*,*,
40,Bledsoe County Schools,10,Cecil B Rigsby Elementary,2018,Students with Disabilities,38,2.6,9.3,2017
40,Bledsoe County Schools,25,Mary V Wheeler Elementary,2018,All Students,218,6.4,16.7,2017
40,Bledsoe County Schools,25,Mary V Wheeler Elementary,2018,Black/Hispanic/Native,0,*,*,
40,Bledsoe County Schools,25,Mary V Wheeler Elementary,2018,Economically Disadvantaged,105,10.5,24.8,2017
40,Bledsoe County Schools,25,Mary V Wheeler Elementary,2018,English Learners,,*,*,
40,Bledsoe County Schools,25,Mary V Wheeler Elementary,2018,Students with Disabilities,44,6.8,31.4,2017
40,Bledsoe County Schools,30,Pikeville Elementary,2018,All Students,355,12.4,12.2,2017
40,Bledsoe County Schools,30,Pikeville Elementary,2018,Black/Hispanic/Native,32,9.4,9.1,2017
40,Bledsoe County Schools,30,Pikeville Elementary,2018,Economically Disadvantaged,173,16.8,16.8,2017
40,Bledsoe County Schools,30,Pikeville Elementary,2018,English Learners,0,*,*,
40,Bledsoe County Schools,30,Pikeville Elementary,2018,Students with Disabilities,100,20.0,14.3,2017
50,Blount County Schools,0,,2018,All Students,10549,8.5,9.1,2017
50,Blount County Schools,0,,2018,Black/Hispanic/Native,977,9.2,8.9,2017
50,Blount County Schools,0,,2018,Economically Disadvantaged,2891,14.7,15,2017
50,Blount County Schools,0,,2018,English Learners,222,6.3,5.1,2017
50,Blount County Schools,0,,2018,Students with Disabilities,1405,13.8,15.6,2017
50,Blount County Schools,22,Carpenters Elementary School,2018,All Students,503,1.6,4.6,2017
50,Blount County Schools,22,Carpenters Elementary School,2018,Black/Hispanic/Native,30,3.3,*,
50,Blount County Schools,22,Carpenters Elementary School,2018,Economically Disadvantaged,132,3.8,11.1,2017
50,Blount County Schools,22,Carpenters Elementary School,2018,English Learners,0,*,*,
50,Blount County Schools,22,Carpenters Elementary School,2018,Students with Disabilities,49,4.1,13,2017
50,Blount County Schools,23,Carpenters Middle School,2018,All Students,632,6.5,5.6,2017
50,Blount County Schools,23,Carpenters Middle School,2018,Black/Hispanic/Native,34,0,*,
50,Blount County Schools,23,Carpenters Middle School,2018,Economically Disadvantaged,121,18.2,14,2017
50,Blount County Schools,23,Carpenters Middle School,2018,English Learners,0,*,*,
50,Blount County Schools,23,Carpenters Middle School,2018,Students with Disabilities,66,9.1,6.9,2017
50,Blount County Schools,30,Eagleton Middle School,2018,All Students,372,10.5,11.3,2017
50,Blount County Schools,30,Eagleton Middle School,2018,Black/Hispanic/Native,82,14.6,12.5,2017
50,Blount County Schools,30,Eagleton Middle School,2018,Economically Disadvantaged,143,16.1,19.9,2017
50,Blount County Schools,30,Eagleton Middle School,2018,English Learners,0,*,*,
50,Blount County Schools,30,Eagleton Middle School,2018,Students with Disabilities,53,13.2,15.8,2017
50,Blount County Schools,43,Eagleton Elementary,2018,All Students,470,5.1,5.6,2017
50,Blount County Schools,43,Eagleton Elementary,2018,Black/Hispanic/Native,110,5.5,6.6,2017
50,Blount County Schools,43,Eagleton Elementary,2018,Economically Disadvantaged,163,6.1,9.3,2017
50,Blount County Schools,43,Eagleton Elementary,2018,English Learners,46,8.7,2.1,2017
50,Blount County Schools,43,Eagleton Elementary,2018,Students with Disabilities,54,13.0,13.8,2017
50,Blount County Schools,45,Fairview Elementary,2018,All Students,294,5.4,5.1,2017
50,Blount County Schools,45,Fairview Elementary,2018,Black/Hispanic/Native,0,*,*,
